Postcode,ABSTUDY_Living_allowance,ABSTUDY_Non_living_allowance,Age_Pension,Austudy,Carer_Allowance,Carer_Allowance_Child_Health_Care_Card_only,Carer_Payment,Commonwealth_Seniors_Health_Card,Double_Orphan_Pension,Disability_Support_Pension,Family_Tax_Benefit_Part_A,Family_Tax_Benefit_Part_B,Health_Care_Card,Low_Income_Card,Newstart_Allowance,Parenting_Payment_Partnered,Parenting_Payment_Single,Partner_Allowance,Pensioner_Concession_Card,Sickness_Allowance,Special_Benefit,Wife_Pension_Partner_on_Age_Pension,Wife_Pension_Partner_on_Disability_Support_Pension,Widow_Allowance,Widow_B_Pension,Youth_Allowance_other,Youth_Allowance_student_and_apprentice,,,,,,,,
853,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,29,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
854,<20,42,65,<20,<20,<20,<20,<20,<20,59,175,153,343,<20,142,40,34,<20,188,<20,<20,<20,<20,<20,<20,49,<20,,,,,,,,
860,<20,75,134,<20,63,<20,36,<20,<20,269,342,311,534,<20,321,58,86,<20,553,<20,<20,<20,<20,<20,<20,68,<20,,,,,,,,
861,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,21,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
862,<20,30,28,<20,<20,<20,<20,<20,<20,58,135,120,253,<20,149,40,25,<20,136,<20,<20,<20,<20,<20,<20,27,<20,,,,,,,,
870,37,154,926,<20,293,<20,147,114,<20,"1,135","1,660","1,532","1,412",59,835,103,414,<20,"2,760",<20,<20,<20,<20,<20,<20,123,22,,,,,,,,
871,<20,<20,38,<20,<20,<20,<20,<20,<20,39,56,44,44,<20,24,<20,<20,<20,93,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
872,93,795,518,<20,224,<20,160,<20,<20,"1,216","2,404","2,225","4,618",50,"2,791",699,470,<20,"2,675",<20,<20,<20,<20,<20,<20,618,<20,,,,,,,,
873,<20,22,20,<20,<20,<20,<20,<20,<20,59,70,66,119,<20,83,<20,22,<20,109,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
875,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,40,33,43,<20,28,<20,<20,<20,39,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
880,44,117,83,<20,84,<20,42,<20,<20,265,605,604,870,<20,407,104,110,<20,577,<20,<20,<20,<20,<20,<20,64,<20,,,,,,,,
881,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
885,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
886,<20,22,<20,<20,<20,<20,<20,<20,<20,41,85,91,111,<20,45,<20,<20,<20,79,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
909,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
1022,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
